"haggis"||"potato au gratin"||"saffron kheer" 
""||"roasted green beans"||"mom's peach cobbler" 
"falafel"||"brussels sprouts"||"mom's peach cobbler" 
"haggis"||"brussels sprouts"||"melopita" 
"ciopinno"||"potato au gratin"||"Mizu Shingen Mochi" 
"pesce con vivo"||"brussels sprouts"||"" 
"haggis"||"roasted green beans"||"saffron kheer" 
"falafel"||"broccali"||"creme brulee" 
"potato pie"||"peas"||"" 
"Miquel's Pizza"||"broccali"||"tavuk göğsü" 
"pesce con vivo"||"potato au gratin"||"tavuk göğsü" 
"falafel"||"Chef John 5-spice carrots"||"melopita" 
"Miquel's Pizza"||"kale"||"cherry ice cream" 
""||"broccali"||"chili chocolate tart" 
""||"brussels sprouts"||"saffron kheer" 
"green coconut curry"||"brussels sprouts"||"saffron kheer" 
"green coconut curry"||"brussels sprouts"||"chili chocolate tart" 
"Miquel's Pizza"||"potato au gratin"||"" 
""||"roasted green beans"||"" 
"ciopinno"||"peas"||"mom's peach cobbler" 
"Miquel's Pizza"||"cauliflower"||"melopita" 
"potato pie"||"roasted green beans"||"chili chocolate tart" 
"haggis"||"peas"||"saffron kheer" 
"Miquel's Pizza"||"Chef John 5-spice carrots"||"" 
"green coconut curry"||"broccali"||"" 
"Miquel's Pizza"||"Chef John 5-spice carrots"||"cinnamon brioche" 
"ciopinno"||"potato au gratin"||"creme brulee" 
"falafel"||"roasted green beans"||"tavuk göğsü" 
"green coconut curry"||"peas"||"chili chocolate tart" 
"Miquel's Pizza"||""||"cherry ice cream" 
""||"potato au gratin"||"chili chocolate tart" 
"ciopinno"||"kale"||"Mizu Shingen Mochi" 
""||"potato au gratin"||"saffron kheer" 
"haggis"||"potato au gratin"||"Mizu Shingen Mochi" 
"Miquel's Pizza"||"broccali"||"tavuk göğsü" 
"pesce con vivo"||"brussels sprouts"||"tavuk göğsü" 
"green coconut curry"||"roasted green beans"||"" 
"green coconut curry"||"cauliflower"||"saffron kheer" 
"haggis"||""||"chili chocolate tart" 
"hasenpfeffer"||"roasted green beans"||"melopita" 
"falafel"||"roasted green beans"||"creme brulee" 
"haggis"||"cauliflower"||"melopita" 
"ciopinno"||"roasted green beans"||"cinnamon brioche" 
"ciopinno"||"broccali"||"melopita" 
"hasenpfeffer"||""||"Mizu Shingen Mochi" 
"Miquel's Pizza"||""||"Mizu Shingen Mochi" 
""||"broccali"||"cinnamon brioche" 
"Miquel's Pizza"||"cauliflower"||"tavuk göğsü" 
"Miquel's Pizza"||"cauliflower"||"" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"" 
"potato pie"||""||"" 
"haggis"||"potato au gratin"||"cinnamon brioche" 
"haggis"||"potato au gratin"||"chili chocolate tart" 
"haggis"||"broccali"||"saffron kheer" 
"Miquel's Pizza"||""||"chili chocolate tart" 
"falafel"||"Chef John 5-spice carrots"||"tavuk göğsü" 
"ciopinno"||"cauliflower"||"" 
"pesce con vivo"||""||"cherry ice cream" 
"Miquel's Pizza"||"broccali"||"cinnamon brioche" 
"ciopinno"||"peas"||"chili chocolate tart" 
"pesce con vivo"||"cauliflower"||"creme brulee" 
"falafel"||"broccali"||"creme brulee" 
"haggis"||"broccali"||"" 
"falafel"||"kale"||"cinnamon brioche" 
"pesce con vivo"||"kale"||"cinnamon brioche" 
""||"roasted green beans"||"creme brulee" 
"falafel"||"kale"||"creme brulee" 
"Miquel's Pizza"||"roasted green beans"||"Mizu Shingen Mochi" 
"potato pie"||"broccali"||"tavuk göğsü" 
"potato pie"||"broccali"||"Mizu Shingen Mochi" 
"potato pie"||"roasted green beans"||"creme brulee" 
""||""||"melopita" 
"potato pie"||"kale"||"chili chocolate tart" 
"haggis"||"potato au gratin"||"" 
"pesce con vivo"||"potato au gratin"||"chili chocolate tart" 
"green coconut curry"||""||"mom's peach cobbler" 
"potato pie"||"potato au gratin"||"creme brulee" 
""||"potato au gratin"||"creme brulee" 
"Miquel's Pizza"||"brussels sprouts"||"saffron kheer" 
"pesce con vivo"||"roasted green beans"||"creme brulee" 
"pesce con vivo"||"potato au gratin"||"creme brulee" 
"potato pie"||""||"" 
"hasenpfeffer"||"brussels sprouts"||"" 
"haggis"||""||"saffron kheer" 
"haggis"||"Chef John 5-spice carrots"||"melopita" 
"ciopinno"||""||"creme brulee" 
"Miquel's Pizza"||"cauliflower"||"creme brulee" 
""||""||"creme brulee" 
"hasenpfeffer"||"kale"||"Mizu Shingen Mochi" 
"Miquel's Pizza"||"brussels sprouts"||"" 
"green coconut curry"||"peas"||"cinnamon brioche" 
"ciopinno"||"roasted green beans"||"tavuk göğsü" 
"falafel"||"peas"||"tavuk göğsü" 
"haggis"||"Chef John 5-spice carrots"||"cinnamon brioche" 
"haggis"||"cauliflower"||"chili chocolate tart" 
""||"potato au gratin"||"creme brulee" 
"green coconut curry"||"kale"||"" 
"Miquel's Pizza"||"cauliflower"||"Mizu Shingen Mochi" 
"ciopinno"||"peas"||"mom's peach cobbler" 
"ciopinno"||"broccali"||"" 
"pesce con vivo"||"broccali"||"Mizu Shingen Mochi" 
"green coconut curry"||"peas"||"Mizu Shingen Mochi" 
"green coconut curry"||"peas"||"Mizu Shingen Mochi" 
"hasenpfeffer"||"roasted green beans"||"creme brulee" 
"ciopinno"||"brussels sprouts"||"mom's peach cobbler" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"saffron kheer" 
"pesce con vivo"||"Chef John 5-spice carrots"||"tavuk göğsü" 
"pesce con vivo"||"broccali"||"cinnamon brioche" 
"potato pie"||"Chef John 5-spice carrots"||"melopita" 
"green coconut curry"||"Chef John 5-spice carrots"||"chili chocolate tart" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"Mizu Shingen Mochi" 
"haggis"||"potato au gratin"||"" 
"haggis"||"kale"||"cinnamon brioche" 
"falafel"||"peas"||"chili chocolate tart" 
""||"roasted green beans"||"creme brulee" 
"pesce con vivo"||"Chef John 5-spice carrots"||"saffron kheer" 
"Miquel's Pizza"||"brussels sprouts"||"chili chocolate tart" 
"haggis"||""||"" 
"potato pie"||"kale"||"" 
"ciopinno"||"roasted green beans"||"chili chocolate tart" 
"ciopinno"||""||"melopita" 
"potato pie"||"kale"||"Mizu Shingen Mochi" 
"haggis"||"broccali"||"saffron kheer" 
"falafel"||"brussels sprouts"||"saffron kheer" 
"haggis"||"peas"||"tavuk göğsü" 
"Miquel's Pizza"||""||"tavuk göğsü" 
"hasenpfeffer"||"potato au gratin"||"cinnamon brioche" 
"green coconut curry"||"roasted green beans"||"creme brulee" 
"Miquel's Pizza"||"cauliflower"||"cinnamon brioche" 
"green coconut curry"||"roasted green beans"||"tavuk göğsü" 
"ciopinno"||"potato au gratin"||"saffron kheer" 
""||"broccali"||"chili chocolate tart" 
"pesce con vivo"||"roasted green beans"||"tavuk göğsü" 
"ciopinno"||"roasted green beans"||"chili chocolate tart" 
"green coconut curry"||"kale"||"Mizu Shingen Mochi" 
"green coconut curry"||"Chef John 5-spice carrots"||"cherry ice cream" 
"falafel"||"potato au gratin"||"creme brulee" 
"falafel"||""||"chili chocolate tart" 
"potato pie"||"cauliflower"||"creme brulee" 
"hasenpfeffer"||"brussels sprouts"||"" 
"haggis"||"kale"||"melopita" 
"pesce con vivo"||"broccali"||"cinnamon brioche" 
"green coconut curry"||"Chef John 5-spice carrots"||"" 
"Miquel's Pizza"||"kale"||"saffron kheer" 
"pesce con vivo"||"roasted green beans"||"melopita" 
"ciopinno"||"cauliflower"||"melopita" 
"haggis"||"potato au gratin"||"creme brulee" 
"Miquel's Pizza"||""||"" 
"haggis"||"roasted green beans"||"melopita" 
"haggis"||"roasted green beans"||"" 
"green coconut curry"||"broccali"||"cinnamon brioche" 
"haggis"||"brussels sprouts"||"melopita" 
"hasenpfeffer"||"cauliflower"||"chili chocolate tart" 
"potato pie"||"kale"||"" 
"haggis"||""||"" 
"ciopinno"||"Chef John 5-spice carrots"||"saffron kheer" 
"green coconut curry"||""||"tavuk göğsü" 
""||"peas"||"cinnamon brioche" 
"pesce con vivo"||"Chef John 5-spice carrots"||"melopita" 
"falafel"||""||"" 
"potato pie"||"brussels sprouts"||"" 
""||""||"mom's peach cobbler" 
"haggis"||"cauliflower"||"melopita" 
"pesce con vivo"||"roasted green beans"||"melopita" 
"Miquel's Pizza"||"peas"||"saffron kheer" 
"ciopinno"||"roasted green beans"||"cherry ice cream" 
"haggis"||"potato au gratin"||"Mizu Shingen Mochi" 
"ciopinno"||"brussels sprouts"||"chili chocolate tart" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"creme brulee" 
"green coconut curry"||"roasted green beans"||"chili chocolate tart" 
"falafel"||""||"" 
"pesce con vivo"||"Chef John 5-spice carrots"||"melopita" 
"ciopinno"||"brussels sprouts"||"tavuk göğsü" 
"potato pie"||"broccali"||"saffron kheer" 
"Miquel's Pizza"||"peas"||"tavuk göğsü" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"Mizu Shingen Mochi" 
"pesce con vivo"||"kale"||"cinnamon brioche" 
"green coconut curry"||"cauliflower"||"cherry ice cream" 
"potato pie"||"brussels sprouts"||"saffron kheer" 
"haggis"||"roasted green beans"||"cherry ice cream" 
"haggis"||"cauliflower"||"creme brulee" 
"potato pie"||"roasted green beans"||"chili chocolate tart" 
"hasenpfeffer"||"broccali"||"saffron kheer" 
"ciopinno"||"kale"||"saffron kheer" 
"green coconut curry"||"kale"||"cherry ice cream" 
"falafel"||"roasted green beans"||"melopita" 
"potato pie"||"cauliflower"||"" 
"falafel"||""||"cherry ice cream" 
"green coconut curry"||"cauliflower"||"tavuk göğsü" 
"hasenpfeffer"||"potato au gratin"||"Mizu Shingen Mochi" 
"hasenpfeffer"||"broccali"||"cherry ice cream" 
"potato pie"||"Chef John 5-spice carrots"||"" 
""||"broccali"||"chili chocolate tart" 
"ciopinno"||"kale"||"tavuk göğsü" 
"falafel"||"cauliflower"||"" 
"Miquel's Pizza"||"Chef John 5-spice carrots"||"melopita" 
"pesce con vivo"||""||"chili chocolate tart" 
""||"potato au gratin"||"Mizu Shingen Mochi" 
"potato pie"||"peas"||"tavuk göğsü" 
"potato pie"||"peas"||"creme brulee" 
""||""||"cinnamon brioche" 
"potato pie"||"peas"||"cherry ice cream" 
"ciopinno"||"cauliflower"||"cherry ice cream" 
"pesce con vivo"||"peas"||"" 
"ciopinno"||"peas"||"melopita" 
"potato pie"||"roasted green beans"||"creme brulee" 
"ciopinno"||"roasted green beans"||"cherry ice cream" 
"haggis"||"potato au gratin"||"tavuk göğsü" 
""||"broccali"||"tavuk göğsü" 
"falafel"||"potato au gratin"||"cherry ice cream" 
"pesce con vivo"||"brussels sprouts"||"cinnamon brioche" 
"Miquel's Pizza"||"Chef John 5-spice carrots"||"Mizu Shingen Mochi" 
"potato pie"||"kale"||"mom's peach cobbler" 
""||"peas"||"cinnamon brioche" 
""||"Chef John 5-spice carrots"||"cherry ice cream" 
"haggis"||"peas"||"" 
""||""||"creme brulee" 
"Miquel's Pizza"||"peas"||"cherry ice cream" 
"falafel"||"peas"||"cinnamon brioche" 
"haggis"||"potato au gratin"||"" 
"haggis"||"cauliflower"||"melopita" 
"ciopinno"||"Chef John 5-spice carrots"||"cherry ice cream" 
"green coconut curry"||"cauliflower"||"mom's peach cobbler" 
"green coconut curry"||"kale"||"saffron kheer" 
"green coconut curry"||"cauliflower"||"chili chocolate tart" 
"ciopinno"||"broccali"||"" 
"pesce con vivo"||""||"tavuk göğsü" 
"falafel"||"potato au gratin"||"creme brulee" 
"hasenpfeffer"||"potato au gratin"||"cherry ice cream" 
"Miquel's Pizza"||"peas"||"chili chocolate tart" 
"hasenpfeffer"||"brussels sprouts"||"cinnamon brioche" 
"Miquel's Pizza"||""||"melopita" 
"green coconut curry"||"kale"||"creme brulee" 
"haggis"||"broccali"||"saffron kheer" 
"ciopinno"||"brussels sprouts"||"creme brulee" 
"hasenpfeffer"||"peas"||"mom's peach cobbler" 
"haggis"||"cauliflower"||"saffron kheer" 
"falafel"||"broccali"||"melopita" 
""||"peas"||"creme brulee" 
"falafel"||"cauliflower"||"" 
"potato pie"||"brussels sprouts"||"chili chocolate tart" 
"Miquel's Pizza"||"brussels sprouts"||"chili chocolate tart" 
"haggis"||"peas"||"melopita" 
""||"brussels sprouts"||"" 
"potato pie"||"potato au gratin"||"saffron kheer" 
""||"Chef John 5-spice carrots"||"cinnamon brioche" 
"ciopinno"||"cauliflower"||"melopita" 
"Miquel's Pizza"||"broccali"||"saffron kheer" 
"pesce con vivo"||"Chef John 5-spice carrots"||"Mizu Shingen Mochi" 
"potato pie"||"kale"||"mom's peach cobbler" 
"Miquel's Pizza"||"Chef John 5-spice carrots"||"Mizu Shingen Mochi" 
"falafel"||"broccali"||"mom's peach cobbler" 
"haggis"||""||"tavuk göğsü" 
"green coconut curry"||"kale"||"saffron kheer" 
"haggis"||"roasted green beans"||"chili chocolate tart" 
"haggis"||"brussels sprouts"||"cinnamon brioche" 
"potato pie"||"Chef John 5-spice carrots"||"mom's peach cobbler" 
"Miquel's Pizza"||"cauliflower"||"chili chocolate tart" 
"hasenpfeffer"||"potato au gratin"||"chili chocolate tart" 
"pesce con vivo"||"kale"||"creme brulee" 
"haggis"||"broccali"||"chili chocolate tart" 
""||"roasted green beans"||"Mizu Shingen Mochi" 
""||"potato au gratin"||"chili chocolate tart" 
"falafel"||""||"melopita" 
"green coconut curry"||"broccali"||"chili chocolate tart" 
"hasenpfeffer"||"potato au gratin"||"melopita" 
"haggis"||"Chef John 5-spice carrots"||"tavuk göğsü" 
"hasenpfeffer"||"potato au gratin"||"Mizu Shingen Mochi" 
""||"brussels sprouts"||"saffron kheer" 
"green coconut curry"||"brussels sprouts"||"creme brulee" 
"green coconut curry"||"Chef John 5-spice carrots"||"" 
"potato pie"||"peas"||"cherry ice cream" 
"Miquel's Pizza"||"broccali"||"Mizu Shingen Mochi" 
"hasenpfeffer"||""||"chili chocolate tart" 
"falafel"||"roasted green beans"||"cherry ice cream" 
"ciopinno"||"Chef John 5-spice carrots"||"creme brulee" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"saffron kheer" 
"falafel"||""||"Mizu Shingen Mochi" 
"green coconut curry"||"kale"||"creme brulee" 
"haggis"||"Chef John 5-spice carrots"||"cinnamon brioche" 
"pesce con vivo"||"Chef John 5-spice carrots"||"creme brulee" 
""||"broccali"||"creme brulee" 
"falafel"||"kale"||"cinnamon brioche" 
"potato pie"||"brussels sprouts"||"cinnamon brioche" 
"hasenpfeffer"||""||"saffron kheer" 
"haggis"||"Chef John 5-spice carrots"||"cherry ice cream" 
""||"brussels sprouts"||"creme brulee" 
"pesce con vivo"||"potato au gratin"||"creme brulee" 
"ciopinno"||""||"saffron kheer" 
"haggis"||"Chef John 5-spice carrots"||"saffron kheer" 
"potato pie"||"peas"||"saffron kheer" 
"falafel"||"roasted green beans"||"chili chocolate tart" 
"pesce con vivo"||"peas"||"saffron kheer" 
"falafel"||"kale"||"creme brulee" 
"haggis"||"kale"||"Mizu Shingen Mochi" 
"green coconut curry"||"kale"||"creme brulee" 
"green coconut curry"||"brussels sprouts"||"creme brulee" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"mom's peach cobbler" 
"falafel"||"peas"||"Mizu Shingen Mochi" 
"potato pie"||"potato au gratin"||"cinnamon brioche" 
"ciopinno"||"cauliflower"||"cinnamon brioche" 
"pesce con vivo"||""||"tavuk göğsü" 
"hasenpfeffer"||"cauliflower"||"melopita" 
"ciopinno"||"cauliflower"||"Mizu Shingen Mochi" 
"potato pie"||"brussels sprouts"||"Mizu Shingen Mochi" 
"potato pie"||"broccali"||"tavuk göğsü" 
"Miquel's Pizza"||"kale"||"mom's peach cobbler" 
"haggis"||"potato au gratin"||"mom's peach cobbler" 
"hasenpfeffer"||"cauliflower"||"mom's peach cobbler" 
"hasenpfeffer"||"cauliflower"||"" 
"green coconut curry"||"potato au gratin"||"creme brulee" 
"pesce con vivo"||""||"Mizu Shingen Mochi" 
"potato pie"||"potato au gratin"||"chili chocolate tart" 
"green coconut curry"||"Chef John 5-spice carrots"||"chili chocolate tart" 
"haggis"||"broccali"||"saffron kheer" 
""||"Chef John 5-spice carrots"||"cherry ice cream" 
"hasenpfeffer"||"roasted green beans"||"saffron kheer" 
""||"kale"||"saffron kheer" 
"pesce con vivo"||"roasted green beans"||"chili chocolate tart" 
"haggis"||"Chef John 5-spice carrots"||"melopita" 
"ciopinno"||"kale"||"mom's peach cobbler" 
"haggis"||"peas"||"chili chocolate tart" 
"haggis"||"kale"||"chili chocolate tart" 
""||"potato au gratin"||"melopita" 
"green coconut curry"||"broccali"||"chili chocolate tart" 
"ciopinno"||"brussels sprouts"||"creme brulee" 
"pesce con vivo"||"roasted green beans"||"melopita" 
""||"Chef John 5-spice carrots"||"cinnamon brioche" 
"haggis"||"potato au gratin"||"chili chocolate tart" 
"potato pie"||"peas"||"melopita" 
"Miquel's Pizza"||""||"tavuk göğsü" 
"ciopinno"||"peas"||"chili chocolate tart" 
"potato pie"||""||"melopita" 
""||"roasted green beans"||"creme brulee" 
"pesce con vivo"||"cauliflower"||"mom's peach cobbler" 
"pesce con vivo"||"Chef John 5-spice carrots"||"creme brulee" 
"Miquel's Pizza"||"cauliflower"||"" 
""||"brussels sprouts"||"melopita" 
"green coconut curry"||"potato au gratin"||"cherry ice cream" 
"pesce con vivo"||"Chef John 5-spice carrots"||"" 
"hasenpfeffer"||"brussels sprouts"||"melopita" 
"hasenpfeffer"||"kale"||"cherry ice cream" 
""||"Chef John 5-spice carrots"||"cherry ice cream" 
"Miquel's Pizza"||"broccali"||"melopita" 
"Miquel's Pizza"||"roasted green beans"||"cinnamon brioche" 
""||"Chef John 5-spice carrots"||"cherry ice cream" 
"Miquel's Pizza"||"kale"||"tavuk göğsü" 
"falafel"||"roasted green beans"||"saffron kheer" 
"green coconut curry"||"brussels sprouts"||"saffron kheer" 
"potato pie"||"brussels sprouts"||"melopita" 
"green coconut curry"||"cauliflower"||"creme brulee" 
"hasenpfeffer"||"roasted green beans"||"creme brulee" 
"falafel"||"kale"||"cinnamon brioche" 
"ciopinno"||"potato au gratin"||"tavuk göğsü" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"chili chocolate tart" 
"haggis"||"peas"||"creme brulee" 
"haggis"||""||"tavuk göğsü" 
"falafel"||"broccali"||"saffron kheer" 
"Miquel's Pizza"||"kale"||"creme brulee" 
"haggis"||"roasted green beans"||"cinnamon brioche" 
"falafel"||"roasted green beans"||"cherry ice cream" 
"pesce con vivo"||"peas"||"cherry ice cream" 
"Miquel's Pizza"||"broccali"||"" 
"Miquel's Pizza"||"broccali"||"cherry ice cream" 
"pesce con vivo"||"roasted green beans"||"Mizu Shingen Mochi" 
"Miquel's Pizza"||"kale"||"saffron kheer" 
"ciopinno"||"peas"||"cinnamon brioche" 
"ciopinno"||"cauliflower"||"creme brulee" 
"Miquel's Pizza"||""||"tavuk göğsü" 
"ciopinno"||"brussels sprouts"||"creme brulee" 
"pesce con vivo"||"cauliflower"||"creme brulee" 
"green coconut curry"||"roasted green beans"||"chili chocolate tart" 
"Miquel's Pizza"||"peas"||"creme brulee" 
"haggis"||"potato au gratin"||"" 
"green coconut curry"||"broccali"||"creme brulee" 
"green coconut curry"||"broccali"||"saffron kheer" 
"pesce con vivo"||"cauliflower"||"melopita" 
""||"roasted green beans"||"" 
"pesce con vivo"||""||"tavuk göğsü" 
"green coconut curry"||"broccali"||"" 
"green coconut curry"||"potato au gratin"||"Mizu Shingen Mochi" 
""||"potato au gratin"||"cherry ice cream" 
"hasenpfeffer"||""||"" 
"potato pie"||"peas"||"cinnamon brioche" 
"pesce con vivo"||"peas"||"Mizu Shingen Mochi" 
"Miquel's Pizza"||"potato au gratin"||"" 
"potato pie"||"kale"||"cherry ice cream" 
"pesce con vivo"||"brussels sprouts"||"mom's peach cobbler" 
"pesce con vivo"||"broccali"||"saffron kheer" 
"potato pie"||"potato au gratin"||"" 
"hasenpfeffer"||"potato au gratin"||"saffron kheer" 
"potato pie"||"roasted green beans"||"" 
"falafel"||""||"mom's peach cobbler" 
"haggis"||"peas"||"cherry ice cream" 
"haggis"||"Chef John 5-spice carrots"||"chili chocolate tart" 
"potato pie"||"cauliflower"||"tavuk göğsü" 
""||""||"saffron kheer" 
"pesce con vivo"||"kale"||"Mizu Shingen Mochi" 
"haggis"||"Chef John 5-spice carrots"||"cherry ice cream" 
"green coconut curry"||"roasted green beans"||"melopita" 
"potato pie"||"roasted green beans"||"cherry ice cream" 
"ciopinno"||"kale"||"creme brulee" 
"pesce con vivo"||"peas"||"mom's peach cobbler" 
